FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT8870143,Imperial Deer Mountain 2-19,A5G3,ConocoPhillips Canada Resources Corp.,"311",Crude Oil Single-Well Battery,"0025394",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT8870168,Colgas Swan Hills 12-03,0HE9,Canadian Natural Resources Limited,"311",Crude Oil Single-Well Battery,"0119443",W,,,0HE9,Canadian Natural Resources Limited,Suspended,Well Licence,./0.png
ABBT8870179,Chauvco Swan Hills 7-12,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0123830",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870184,Chauvco Swan Hills 10-1,A6A7,Cardinal Energy Ltd.,"311",Crude Oil Single-Well Battery,"0124915",W,,,A6A7,Cardinal Energy Ltd.,Active,Well Licence,./0.png
ABBT8870194,Twin Butte Swan Hills 2/4-17-69-10w5,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0127191",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT8870205,Chauvco Swan Hills 10-34,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0132940",W,,,A2PZ,KinMerc Oil & Gas Inc.,Suspended,Well Licence,./0.png
ABBT8870206,Imperial Swan Hills 4-3,"0007",Imperial Oil Resources Limited,"311",Crude Oil Single-Well Battery,"0119723",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT8870210,First Dev Swanh 16-24,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0133836",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT8870211,Chauvco Swan Hills 12-35,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0135018",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT8870212,Colin Swan Hills 4-1,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0133928",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
