X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.497274,54.735977,,,"0017832",BP Canada Energy Group ULC(A62D),54.735976999999998,-115.497274000000004,1193.900000000000091,1189.599999999999909,02:30:06.000,BWL,J,RecExempt,15 Jan 1960,,,./0.png
-115.510905,54.750713,,,"0017850",Canadian Natural Resources Limited(0HE9),54.750712999999998,-115.510904999999994,1281.400000000000091,1277.700000000000045,04:31:06.000,BWL,J,Abandoned,21 Oct 2003,,,./1.png
-115.497746,54.75072,,,"0017851",Canadian Natural Resources Limited(0HE9),54.750720000000001,-115.497746000000006,1282.299999999999955,1278.599999999999909,02:31:06.000,BWL,J,Issued,29 Sep 1959,,,
-115.47257,54.779901,,,"0017874",Canadian Natural Resources Limited(0HE9),54.779901000000002,-115.472570000000005,1118.000000000000000,1114.700000000000045,04:09:06.000,BWL,J,Issued,02 Oct 1959,,,
-115.510354,54.837925,,,"0017965",Canadian Natural Resources Limited(0HE9),54.837924999999998,-115.510354000000007,1064.099999999999909,1060.400000000000091,02:31:06.000,BWL,J,Issued,15 Oct 1959,,,
-115.472214,54.772215,,,"0017994",Canadian Natural Resources Limited(0HE9),54.772215000000003,-115.472213999999994,1132.599999999999909,1128.400000000000091,12:04:06.000,BWL,J,Issued,21 Oct 1959,,,
-115.447944,54.787122,,,"0017995",Canadian Natural Resources Limited(0HE9),54.787121999999997,-115.447944000000007,1080.500000000000000,1076.900000000000091,12:10:06.000,BWL,J,Suspension,23 Aug 2019,,,
-115.447168,54.815935,,,"0018036",Canadian Natural Resources Limited(0HE9),54.815935000000003,-115.447168000000005,969.000000000000000,964.700000000000045,12:22:06.000,BWL,J,Suspension,12 Dec 2015,,,
-115.421391,54.808739,,,"0018049",Canadian Natural Resources Limited(0HE9),54.808739000000003,-115.421391000000000,946.399999999999977,942.399999999999977,04:23:06.000,BWL,J,Suspension,11 Jun 2015,,,
-115.448112,54.793715,,,"0018080",Canadian Natural Resources Limited(0HE9),54.793714999999999,-115.448111999999995,1061.599999999999909,1057.400000000000091,04:15:06.000,BWL,J,Issued,10 Nov 1959,,,
